deuda,sectorEconomico,periodo,tipoEntidad,entidad,tipoIndicador,indicador
242729272.06000003,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
247669631.63,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,2018-01,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
254888384.77999994,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
263653332.91999996,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
278416134.18,D - INDUSTRIA MANUFACTURERA,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
299979697.84000003,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
312691776.53000003,"O - Otras actividades de servicios comunitarios, sociales y personales",2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
325013644.79,D - INDUSTRIA MANUFACTURERA,2018-01,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
344077240.45,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",2018-01,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
409699872.4099999,F - CONSTRUCCIÓN,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
468772589.11999995,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
473774432.9599998,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
492351412.69,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
678709148.8499998,"O - Otras actividades de servicios comunitarios, sociales y personales",2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
684314460.63,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
690381189.66,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
895405370.6699998,D - INDUSTRIA MANUFACTURERA,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
1064659124.0000002,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
1154252303.81,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
1313577463.06,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
1476258079.5600002,I - TRANSPORTE Y ALMACENAMIENTO,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
1689264801.7099998,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
2284020018.7599998,C - EXPLOTACIÓN DE MINAS Y CANTERAS,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
2386093480.15,C - EXPLOTACIÓN DE MINAS Y CANTERAS,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
2438369147.39,Y - CONSUMO DE BIENES Y SERVICIOS,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
2552899777.2399993,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
2867224975.0299993,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
3316541884.2099996,"O - Otras actividades de servicios comunitarios, sociales y personales",2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
3440432649.69,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
5465228076.400001,F - CONSTRUCCIÓN,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
5542626573.19,M - ENSEÑANZA,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
5700529589.78,M - ENSEÑANZA,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
5813726585.9800005,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
8054487800.140002,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
8936263099.390007,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
9299092603.500002,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
9377228256.260008,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
14998393835.079996,"O - Otras actividades de servicios comunitarios, sociales y personales",2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
15221758179.13001,Y - CONSUMO DE BIENES Y SERVICIOS,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
16912293653.439997,I - TRANSPORTE Y ALMACENAMIENTO,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
18643992670.939995,I - TRANSPORTE Y ALMACENAMIENTO,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
18917443375.37,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
19306336644.669994,"O - Otras actividades de servicios comunitarios, sociales y personales",2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
21058083475.39,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
31629918324.03998,Y - CONSUMO DE BIENES Y SERVICIOS,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
32876016817.66998,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
33918673323.339996,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
34189446659.479996,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
35650712393.459984,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
47274293417.03001,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
48034874659.91,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
49482043768.08997,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
51167397744.53,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
53523170763.91001,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
53686672202.18997,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
54052313922.87001,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
64292531469.25999,D - INDUSTRIA MANUFACTURERA,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
65842598370.359985,D - INDUSTRIA MANUFACTURERA,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
69148879279.45,F - CONSTRUCCIÓN,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
75080481835.75,F - CONSTRUCCIÓN,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
119011744892.11005,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
133407924939.04005,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
142230571267.86005,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
170937105331.08005,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
210927977483.33957,Y - CONSUMO DE BIENES Y SERVICIOS,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
260222872424.21957,Y - CONSUMO DE BIENES Y SERVICIOS,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
289208.11,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",2018-02,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
393917.64,B - PESCA,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
448828.68,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
562609.62,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
939800.93,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",2018-02,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
1244754.85,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
3861242.8899999997,B - PESCA,2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
4743893.84,Y - CONSUMO DE BIENES Y SERVICIOS,2018-02,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
4822557.83,C - EXPLOTACIÓN DE MINAS Y CANTERAS,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
7029083.69,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
10637070.12,M - ENSEÑANZA,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
11968028.84,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
14359655.909999998,B - PESCA,2018-02,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
16242398.3,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
23513615.860000003,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
24153548.05,C - EXPLOTACIÓN DE MINAS Y CANTERAS,2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
34430187.20999999,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
35716502.85,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
41264975.62,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
42757996.13999999,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
53280878.81,D - INDUSTRIA MANUFACTURERA,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
56489364.160000004,F - CONSTRUCCIÓN,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
62995048.82999998,I - TRANSPORTE Y ALMACENAMIENTO,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
72984952.05999999,C - EXPLOTACIÓN DE MINAS Y CANTERAS,2018-02,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
73408815.30999999,M - ENSEÑANZA,2018-02,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
74048044.13000001,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
78036639.42999998,M - ENSEÑANZA,2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
83723831.35000001,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
105139416.03000002,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
112339151.15999998,B - PESCA,2018-02,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
123388362.94000001,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
130953967.59999998,B - PESCA,2018-02,TODOS,TODOS,Cartera de credito,Cartera de credito
132856805.49999999,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
137546660.22000003,D - INDUSTRIA MANUFACTURERA,2018-02,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
171786107.87999997,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
200744287.33,I - TRANSPORTE Y ALMACENAMIENTO,2018-02,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
242832802.23,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",2018-02,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
247034416.24999988,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,2018-02,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
250884117.01000002,D - INDUSTRIA MANUFACTURERA,2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
251284363.77000007,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,2018-02,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
259742156.45000002,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",2018-02,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
261430373.76,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,2018-02,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
294923227.4800001,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",2018-02,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
312375075.93,"O - Otras actividades de servicios comunitarios, sociales y personales",2018-02,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
428007922.5800001,F - CONSTRUCCIÓN,2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
450450728.10999995,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,2018-02,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
473720353.8500001,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,2018-02,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
